"Sample_name","class","species","tot"
"MiFish.0521.5Sqm.Up.3","Actinopteri","Pimephales promelas",975
"MiFish.0521.5Sqm.Up.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",3342
"MiFish.0621.1Prt.Dn.1","Actinopteri","Oncorhynchus clarkii",15887
"MiFish.0621.1Prt.Dn.1","Actinopteri","Oncorhynchus kisutch",6040
"MiFish.0621.1Prt.Dn.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",7780
"MiFish.0621.1Prt.Dn.2","Actinopteri","Oncorhynchus clarkii",53796
"MiFish.0621.1Prt.Dn.2","Actinopteri","Oncorhynchus kisutch",21979
"MiFish.0621.1Prt.Dn.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",18636
"MiFish.0621.1Prt.Dn.3","Actinopteri","Oncorhynchus clarkii",30851
"MiFish.0621.1Prt.Dn.3","Actinopteri","Oncorhynchus kisutch",10219
"MiFish.0621.1Prt.Dn.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",27778
"MiFish.0621.1Prt.Dn.3","Mammalia","Didelphis virginiana",7
"MiFish.0621.1Prt.Up.1","Actinopteri","Oncorhynchus clarkii",55161
"MiFish.0621.1Prt.Up.1","Actinopteri","Oncorhynchus kisutch",25073
"MiFish.0621.1Prt.Up.1","Aves","Turdus migratorius",635
"MiFish.0621.1Prt.Up.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",33413
"MiFish.0621.1Prt.Up.2","Actinopteri","Oncorhynchus clarkii",56829
"MiFish.0621.1Prt.Up.2","Actinopteri","Oncorhynchus kisutch",16018
"MiFish.0621.1Prt.Up.2","Aves","Turdus migratorius",610
"MiFish.0621.1Prt.Up.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",12070
"MiFish.0621.1Prt.Up.2","Mammalia","Didelphis virginiana",9
"MiFish.0621.1Prt.Up.3","Actinopteri","Oncorhynchus clarkii",48198
"MiFish.0621.1Prt.Up.3","Actinopteri","Oncorhynchus kisutch",8602
"MiFish.0621.1Prt.Up.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",8948
